review,language,rating,label
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
I've used these earbuds during my morning runs. Great grip and decent noise isolation. Only issue is wind noise on calls.,English,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
This product changed my life. Everyone should buy it now! It's unbelievable!,English,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ನಾನು jogging ಗೆ ಹೋಗುವಾಗ ಇಡುತ್ತೀನಿ. Comfortable ಆಗಿದೆ. ಆದರೆ mic clarity average.,Kannada,4,legit
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
ഫോണിനൊപ്പം കണക്റ്റ് ചെയ്യാൻ കുറച്ച് സമയം എടുത്തു. ഇനി എല്ലാം ശരിയാകുന്നു.,Malayalam,4,legit
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ఇది నేను వాడిన బెస్ట్ ప్రాడక్ట్. తప్పకుండా కొనాలి!,Telugu,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
साउंड बहुत अच्छा है और बैटरी भी पूरे दिन चलती है। लेकिन कॉल पर थोड़ा नोइस आता है।,Hindi,4,legit
బాసు మంచి ఉంది కానీ వాల్యూమ్ ఫుల్ లెవెల్ లో డిస్టోర్షన్ వస్తుంది.,Telugu,4,legit
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
நான் jogging போறப்போ இந்த ஹெட்போன்ஸ் போடுறேன். நல்லா இருக்குது. ஆனா mic ஒரு மாதிரி இருக்குது.,Tamil,4,legit
यह सबसे अच्छा डिवाइस है जो मैंने अब तक इस्तेमाल किया है। इसे ज़रूर खरीदें!,Hindi,5,fake
ಈ ಉತ್ಪನ್ನವು ನನ್ನ ಜೀವನವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಅದ್ಭುತವಾಗಿದೆ!,Kannada,5,fake
இது life-changing earbuds! எல்லாம் perfect!,Tamil,5,fake
ഇത് നിങ്ങൾക്ക് ആവശ്യമുള്ള ഏക ഹെഡ്‌ഫോണാണ്. ലോകത്തിലെ ഏറ്റവും മികച്ചത്!,Malayalam,5,fake
